"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
8.649874944E-3,9.557199551E-2,7.257561428E0,6.833230000E-4,1.799999952E0,2.500000000E1
2.531095780E-2,9.502210979E-2,7.167016115E0,6.827770000E-4,1.799999952E0,2.500000000E1
3.364141588E-2,9.501001379E-2,7.175130582E0,6.822090000E-4,1.799999952E0,2.500000000E1
4.613749986E-2,9.507295527E-2,7.181514905E0,6.816650000E-4,1.799999952E0,2.500000000E1
5.863341596E-2,9.490434722E-2,7.140460476E0,6.851160000E-4,1.799999952E0,2.500000000E1
7.529458287E-2,9.501129106E-2,7.148106235E0,6.846500000E-4,1.799999952E0,2.500000000E1
8.779037488E-2,9.480406041E-2,7.120066398E0,6.841800000E-4,1.799999952E0,2.500000000E1
1.002863748E-1,9.475567642E-2,7.124807016E0,6.835470000E-4,1.799999952E0,2.500000000E1
1.127822078E-1,9.470765616E-2,7.129039773E0,6.830150000E-4,1.799999952E0,2.500000000E1
1.294434159E-1,9.467827050E-2,7.131663797E0,6.825810000E-4,1.799999952E0,2.500000000E1
1.419392079E-1,9.476347538E-2,7.097427002E0,6.860380000E-4,1.799999952E0,2.500000000E1
1.586004999E-1,9.459752338E-2,7.088151921E0,6.855240000E-4,1.799999952E0,2.500000000E1
1.710960828E-1,9.462202834E-2,7.094704649E0,6.850210000E-4,1.799999952E0,2.500000000E1
1.877574997E-1,9.463612906E-2,7.103477057E0,6.845550000E-4,1.799999952E0,2.500000000E1
2.044187079E-1,9.461270681E-2,7.104558255E0,6.840430000E-4,1.799999952E0,2.500000000E1
2.210799158E-1,9.453488641E-2,7.103169002E0,6.835310000E-4,1.799999952E0,2.500000000E1
2.294105829E-1,9.450136443E-2,7.102281336E0,6.830730000E-4,1.799999952E0,2.500000000E1
2.460717498E-1,9.455286123E-2,7.110261415E0,6.825940000E-4,1.799999952E0,2.500000000E1
2.585676250E-1,9.456872137E-2,7.117284705E0,6.821130000E-4,1.799999952E0,2.500000000E1
2.710630829E-1,9.449473278E-2,7.121111827E0,6.816490000E-4,1.799999952E0,2.500000000E1
2.877245408E-1,9.447098064E-2,7.082212513E0,6.851040000E-4,1.799999952E0,2.500000000E1
2.960552499E-1,9.455971281E-2,7.049425020E0,6.885760000E-4,1.799999952E0,2.500000000E1
3.127163749E-1,9.450391897E-2,7.054469595E0,6.881390000E-4,1.799999952E0,2.500000000E1
3.293776249E-1,9.449041036E-2,7.057002657E0,6.876040000E-4,1.799999952E0,2.500000000E1
3.502039998E-1,9.450269245E-2,7.058612016E0,6.871570000E-4,1.799999952E0,2.500000000E1
3.668651658E-1,9.446696274E-2,7.065228781E0,6.866090000E-4,1.799999952E0,2.500000000E1
3.793612497E-1,9.451351118E-2,7.030947408E0,6.900890000E-4,1.799999952E0,2.500000000E1
3.918569998E-1,9.445432538E-2,6.993848646E0,6.935870000E-4,1.799999952E0,2.500000000E1
4.126834997E-1,9.504345119E-2,7.078212325E0,6.930270000E-4,1.799999952E0,2.500000000E1
4.251794578E-1,9.504604802E-2,7.086207119E0,6.925870000E-4,1.799999952E0,2.500000000E1
4.418406249E-1,9.511451306E-2,7.092517445E0,6.919800000E-4,1.799999952E0,2.500000000E1
4.501712078E-1,9.504545591E-2,7.096882891E0,6.914730000E-4,1.799999952E0,2.500000000E1
4.668320830E-1,9.507941775E-2,7.099498873E0,6.909690000E-4,1.799999952E0,2.500000000E1
4.834934578E-1,9.525135854E-2,7.139815643E0,6.904650000E-4,1.799999952E0,2.500000000E1
