"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
7.636083057E-3,5.278159549E-1,1.116233250E0,3.184487000E-3,1.799999952E0,2.000000000E2
2.013179101E-2,5.278518538E-1,1.116706778E0,3.183378000E-3,1.799999952E0,2.000000000E2
3.262783308E-2,5.277395556E-1,1.116599764E0,3.182274000E-3,1.799999952E0,2.000000000E2
4.928879091E-2,5.277787703E-1,1.117095878E0,3.181169000E-3,1.799999952E0,2.000000000E2
6.178458291E-2,5.277942667E-1,1.117731006E0,3.180063000E-3,1.799999952E0,2.000000000E2
7.844599988E-2,5.265462305E-1,1.112484939E0,3.179007000E-3,1.799999952E0,2.000000000E2
9.094183287E-2,5.264029733E-1,1.112132957E0,3.177957000E-3,1.799999952E0,2.000000000E2
1.159331659E-1,5.263971536E-1,1.112392782E0,3.176908000E-3,1.799999952E0,2.000000000E2
1.284294999E-1,5.263397696E-1,1.112590978E0,3.175862000E-3,1.799999952E0,2.000000000E2
1.450905830E-1,5.245669532E-1,1.104652979E0,3.174886000E-3,1.799999952E0,2.000000000E2
1.617517499E-1,5.248641933E-1,1.106529309E0,3.173899000E-3,1.799999952E0,2.000000000E2
1.742477079E-1,5.245081818E-1,1.105217223E0,3.172926000E-3,1.799999952E0,2.000000000E2
1.950741659E-1,5.248011587E-1,1.106842729E0,3.171942000E-3,1.799999952E0,2.000000000E2
2.117354160E-1,5.239095399E-1,1.103126690E0,3.170994000E-3,1.799999952E0,2.000000000E2
2.283966250E-1,5.239480103E-1,1.103697543E0,3.170044000E-3,1.799999952E0,2.000000000E2
2.450577079E-1,5.242090808E-1,1.105020971E0,3.169084000E-3,1.799999952E0,2.000000000E2
2.617187910E-1,5.239667887E-1,1.104353021E0,3.168134000E-3,1.799999952E0,2.000000000E2
2.825452909E-1,5.235959237E-1,1.103083234E0,3.167199000E-3,1.799999952E0,2.000000000E2
2.950411660E-1,5.236423115E-1,1.103589720E0,3.166263000E-3,1.799999952E0,2.000000000E2
3.117024999E-1,5.232373747E-1,1.102026969E0,3.165343000E-3,1.799999952E0,2.000000000E2
3.283636661E-1,5.234645426E-1,1.103582984E0,3.164414000E-3,1.799999952E0,2.000000000E2
3.491898330E-1,5.230411319E-1,1.101881523E0,3.163502000E-3,1.799999952E0,2.000000000E2
3.616859161E-1,5.233570828E-1,1.103564874E0,3.162578000E-3,1.799999952E0,2.000000000E2
3.783470409E-1,5.230165001E-1,1.102519996E0,3.161668000E-3,1.799999952E0,2.000000000E2
3.950082499E-1,5.229870637E-1,1.102562703E0,3.160759000E-3,1.799999952E0,2.000000000E2
4.116695409E-1,5.224990959E-1,1.100594312E0,3.159870000E-3,1.799999952E0,2.000000000E2
4.283306659E-1,5.224102115E-1,1.100441680E0,3.158984000E-3,1.799999952E0,2.000000000E2
4.449917909E-1,5.223673088E-1,1.100749166E0,3.158100000E-3,1.799999952E0,2.000000000E2
4.658177500E-1,5.218740289E-1,1.098645281E0,3.157236000E-3,1.799999952E0,2.000000000E2
4.824792910E-1,5.218805252E-1,1.098950681E0,3.156372000E-3,1.799999952E0,2.000000000E2
4.949752910E-1,5.215508374E-1,1.097905382E0,3.155521000E-3,1.799999952E0,2.000000000E2
5.116365000E-1,5.215662662E-1,1.098259674E0,3.154670000E-3,1.799999952E0,2.000000000E2
5.282976250E-1,5.215612586E-1,1.098639296E0,3.153819000E-3,1.799999952E0,2.000000000E2
5.449590411E-1,5.205740899E-1,1.094188774E0,3.153007000E-3,1.799999952E0,2.000000000E2
5.616200001E-1,5.206585419E-1,1.094940060E0,3.152192000E-3,1.799999952E0,2.000000000E2
5.824466660E-1,5.206243010E-1,1.095080543E0,3.151379000E-3,1.799999952E0,2.000000000E2
5.991076659E-1,5.200772574E-1,1.092789473E0,3.150588000E-3,1.799999952E0,2.000000000E2
6.157690000E-1,5.200266403E-1,1.092894649E0,3.149799000E-3,1.799999952E0,2.000000000E2
6.324295830E-1,5.201870857E-1,1.093918318E0,3.149004000E-3,1.799999952E0,2.000000000E2
6.449261250E-1,5.201267241E-1,1.093992083E0,3.148211000E-3,1.799999952E0,2.000000000E2
6.615871659E-1,5.201767998E-1,1.094455582E0,3.147416000E-3,1.799999952E0,2.000000000E2
6.782484581E-1,5.199119736E-1,1.093577204E0,3.146632000E-3,1.799999952E0,2.000000000E2
6.949094159E-1,5.196255607E-1,1.092478399E0,3.145860000E-3,1.799999952E0,2.000000000E2
7.115707081E-1,5.197393477E-1,1.093407858E0,3.145083000E-3,1.799999952E0,2.000000000E2
7.282317081E-1,5.197020954E-1,1.093403430E0,3.144308000E-3,1.799999952E0,2.000000000E2
7.448929579E-1,5.188950640E-1,1.089946991E0,3.143565000E-3,1.799999952E0,2.000000000E2
7.657190410E-1,5.190795322E-1,1.091013884E0,3.142815000E-3,1.799999952E0,2.000000000E2
7.823805409E-1,5.189797867E-1,1.090761386E0,3.142069000E-3,1.799999952E0,2.000000000E2
7.948765829E-1,5.188607553E-1,1.090510314E0,3.141328000E-3,1.799999952E0,2.000000000E2
8.115377910E-1,5.185134734E-1,1.089127948E0,3.140601000E-3,1.799999952E0,2.000000000E2
8.323643329E-1,5.183900434E-1,1.089137063E0,3.139879000E-3,1.799999952E0,2.000000000E2
8.448600410E-1,5.184492546E-1,1.089454129E0,3.139154000E-3,1.799999952E0,2.000000000E2
8.615212911E-1,5.186203580E-1,1.090416005E0,3.138423000E-3,1.799999952E0,2.000000000E2
8.781823330E-1,5.182596435E-1,1.089252210E0,3.137706000E-3,1.799999952E0,2.000000000E2
