"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
6.513082422E-3,1.670811787E-1,3.452849576E0,2.045874000E-3,1.799999952E0,2.500000000E1
2.317416645E-2,1.670170276E-1,3.452634957E0,2.044524000E-3,1.799999952E0,2.500000000E1
3.983516642E-2,1.670124938E-1,3.453998060E0,2.043074000E-3,1.799999952E0,2.500000000E1
5.232654163E-2,1.671451268E-1,3.458899788E0,2.041485000E-3,1.799999952E0,2.500000000E1
6.899208250E-2,1.665549098E-1,3.442626969E0,2.040037000E-3,1.799999952E0,2.500000000E1
8.148795762E-2,1.666028709E-1,3.445370896E0,2.038690000E-3,1.799999952E0,2.500000000E1
8.981862455E-2,1.664980671E-1,3.447159954E0,2.037244000E-3,1.799999952E0,2.500000000E1
1.064797915E-1,1.665572106E-1,3.450186272E0,2.035859000E-3,1.799999952E0,2.500000000E1
1.189754996E-1,1.664838902E-1,3.449904847E0,2.034515000E-3,1.799999952E0,2.500000000E1
1.356365825E-1,1.655714291E-1,3.421016066E0,2.033172000E-3,1.799999952E0,2.500000000E1
1.522977494E-1,1.654783153E-1,3.405500586E0,2.041673000E-3,1.799999952E0,2.500000000E1
1.647937074E-1,1.654123710E-1,3.389564600E0,2.050211000E-3,1.799999952E0,2.500000000E1
1.772894165E-1,1.655199661E-1,3.375653186E0,2.058782000E-3,1.799999952E0,2.500000000E1
1.897850826E-1,1.650212050E-1,3.345075250E0,2.067402000E-3,1.799999952E0,2.500000000E1
2.064464996E-1,1.648232875E-1,3.325309232E0,2.076063000E-3,1.799999952E0,2.500000000E1
2.189418324E-1,1.648329812E-1,3.325994469E0,2.074693000E-3,1.799999952E0,2.500000000E1
2.356029574E-1,1.646959834E-1,3.309856088E0,2.083388000E-3,1.799999952E0,2.500000000E1
2.480988326E-1,1.647145250E-1,3.313475860E0,2.081870000E-3,1.799999952E0,2.500000000E1
2.647600826E-1,1.656876184E-1,3.353577256E0,2.080353000E-3,1.799999952E0,2.500000000E1
2.772559165E-1,1.657187803E-1,3.355157298E0,2.078980000E-3,1.799999952E0,2.500000000E1
2.897520824E-1,1.655976174E-1,3.356786961E0,2.077608000E-3,1.799999952E0,2.500000000E1
3.022477075E-1,1.657033516E-1,3.341340782E0,2.086289000E-3,1.799999952E0,2.500000000E1
3.147431666E-1,1.654757777E-1,3.322814082E0,2.095012000E-3,1.799999952E0,2.500000000E1
3.314046664E-1,1.662635570E-1,3.355252062E0,2.093588000E-3,1.799999952E0,2.500000000E1
3.480656245E-1,1.663221930E-1,3.359156449E0,2.092062000E-3,1.799999952E0,2.500000000E1
3.605614996E-1,1.663523061E-1,3.362200813E0,2.090393000E-3,1.799999952E0,2.500000000E1
3.730574166E-1,1.662822508E-1,3.363856222E0,2.088972000E-3,1.799999952E0,2.500000000E1
3.897183326E-1,1.670314413E-1,3.391334413E0,2.087593000E-3,1.799999952E0,2.500000000E1
4.022142075E-1,1.668714866E-1,3.389712279E0,2.086174000E-3,1.799999952E0,2.500000000E1
4.147100416E-1,1.668292775E-1,3.389942180E0,2.084695000E-3,1.799999952E0,2.500000000E1
4.355363324E-1,1.669595590E-1,3.394572622E0,2.083115000E-3,1.799999952E0,2.500000000E1
4.480323326E-1,1.668354693E-1,3.396538767E0,2.081699000E-3,1.799999952E0,2.500000000E1
4.605279996E-1,1.672266690E-1,3.411848338E0,2.080203000E-3,1.799999952E0,2.500000000E1
4.813545416E-1,1.670419978E-1,3.409896037E0,2.078544000E-3,1.799999952E0,2.500000000E1
4.938502074E-1,1.671571044E-1,3.411448193E0,2.076968000E-3,1.799999952E0,2.500000000E1
5.063461666E-1,1.669751061E-1,3.396670359E0,2.085614000E-3,1.799999952E0,2.500000000E1
5.230072495E-1,1.667966437E-1,3.388767521E0,2.083951000E-3,1.799999952E0,2.500000000E1
5.396685416E-1,1.667101108E-1,3.389011408E0,2.082432000E-3,1.799999952E0,2.500000000E1
5.521639995E-1,1.666810127E-1,3.390707019E0,2.080914000E-3,1.799999952E0,2.500000000E1
5.688252915E-1,1.665418157E-1,3.388237240E0,2.079111000E-3,1.799999952E0,2.500000000E1
5.813212076E-1,1.665419341E-1,3.390724704E0,2.077637000E-3,1.799999952E0,2.500000000E1
5.938169574E-1,1.657775348E-1,3.366294889E0,2.076225000E-3,1.799999952E0,2.500000000E1
6.104777916E-1,1.658701749E-1,3.369476939E0,2.074610000E-3,1.799999952E0,2.500000000E1
6.271390826E-1,1.658849438E-1,3.372055688E0,2.073098000E-3,1.799999952E0,2.500000000E1
6.396352076E-1,1.657335831E-1,3.373051545E0,2.071730000E-3,1.799999952E0,2.500000000E1
6.562960825E-1,1.654280027E-1,3.365646782E0,2.070322000E-3,1.799999952E0,2.500000000E1
6.729573326E-1,1.653296783E-1,3.347877616E0,2.078982000E-3,1.799999952E0,2.500000000E1
6.854529576E-1,1.654175477E-1,3.349563658E0,2.077508000E-3,1.799999952E0,2.500000000E1
6.979488744E-1,1.653934234E-1,3.351490412E0,2.076137000E-3,1.799999952E0,2.500000000E1
7.146099994E-1,1.652132353E-1,3.334440390E0,2.084825000E-3,1.799999952E0,2.500000000E1
7.312709575E-1,1.653634118E-1,3.344079422E0,2.083347000E-3,1.799999952E0,2.500000000E1
7.437667495E-1,1.653044375E-1,3.328538904E0,2.092063000E-3,1.799999952E0,2.500000000E1
7.604279164E-1,1.651746635E-1,3.326948643E0,2.090682000E-3,1.799999952E0,2.500000000E1
7.729239995E-1,1.653109169E-1,3.330206760E0,2.089302000E-3,1.799999952E0,2.500000000E1
7.895849575E-1,1.652974336E-1,3.334311290E0,2.087718000E-3,1.799999952E0,2.500000000E1
8.020808746E-1,1.652429932E-1,3.335293598E0,2.085992000E-3,1.799999952E0,2.500000000E1
8.187412915E-1,1.650419797E-1,3.334672796E0,2.084574000E-3,1.799999952E0,2.500000000E1
8.312377916E-1,1.651147587E-1,3.335967206E0,2.083198000E-3,1.799999952E0,2.500000000E1
8.478985415E-1,1.650797734E-1,3.335721987E0,2.081640000E-3,1.799999952E0,2.500000000E1
8.645598325E-1,1.653829177E-1,3.349793975E0,2.080062000E-3,1.799999952E0,2.500000000E1
8.770557914E-1,1.653019506E-1,3.334227049E0,2.088764000E-3,1.799999952E0,2.500000000E1
8.937168326E-1,1.652537865E-1,3.335650968E0,2.087344000E-3,1.799999952E0,2.500000000E1
9.062126665E-1,1.653092589E-1,3.337115086E0,2.085823000E-3,1.799999952E0,2.500000000E1
9.228738325E-1,1.652897869E-1,3.337997036E0,2.084303000E-3,1.799999952E0,2.500000000E1
9.353695826E-1,1.652423165E-1,3.339553748E0,2.082744000E-3,1.799999952E0,2.500000000E1
9.520304166E-1,1.650133723E-1,3.334526496E0,2.081369000E-3,1.799999952E0,2.500000000E1
9.645265825E-1,1.650971307E-1,3.322498664E0,2.090082000E-3,1.799999952E0,2.500000000E1
9.728570415E-1,1.650565626E-1,3.308264789E0,2.098832000E-3,1.799999952E0,2.500000000E1
9.895181665E-1,1.650887396E-1,3.310015733E0,2.097344000E-3,1.799999952E0,2.500000000E1
1.006179458E0,1.650559874E-1,3.297744229E0,2.106125000E-3,1.799999952E0,2.500000000E1
1.022840417E0,1.649551761E-1,3.296352307E0,2.104735000E-3,1.799999952E0,2.500000000E1
1.031171083E0,1.648644477E-1,3.280350370E0,2.113552000E-3,1.799999952E0,2.500000000E1
1.047832082E0,1.648627221E-1,3.281632485E0,2.112115000E-3,1.799999952E0,2.500000000E1
1.064493292E0,1.652331472E-1,3.281597458E0,2.120953000E-3,1.799999952E0,2.500000000E1
1.076988874E0,1.652058762E-1,3.282251137E0,2.119511000E-3,1.799999952E0,2.500000000E1
1.089484917E0,1.652055041E-1,3.283727075E0,2.117988000E-3,1.799999952E0,2.500000000E1
1.106146042E0,1.651563249E-1,3.269592437E0,2.126852000E-3,1.799999952E0,2.500000000E1
1.118641916E0,1.649605390E-1,3.251767294E0,2.135759000E-3,1.799999952E0,2.500000000E1
1.135302749E0,1.657815780E-1,3.281310161E0,2.134245000E-3,1.799999952E0,2.500000000E1
1.147798625E0,1.656561518E-1,3.282174640E0,2.132836000E-3,1.799999952E0,2.500000000E1
1.160294499E0,1.658011685E-1,3.285305790E0,2.131324000E-3,1.799999952E0,2.500000000E1
1.172790417E0,1.658037738E-1,3.287112141E0,2.129875000E-3,1.799999952E0,2.500000000E1
1.189451625E0,1.665071010E-1,3.314545819E0,2.128323000E-3,1.799999952E0,2.500000000E1
1.206112500E0,1.662726417E-1,3.297224535E0,2.137201000E-3,1.799999952E0,2.500000000E1
1.218608249E0,1.663514433E-1,3.298805214E0,2.135790000E-3,1.799999952E0,2.500000000E1
1.235269583E0,1.661471817E-1,3.295706784E0,2.134171000E-3,1.799999952E0,2.500000000E1
1.247764958E0,1.662854820E-1,3.299345025E0,2.132762000E-3,1.799999952E0,2.500000000E1
1.264426542E0,1.670386820E-1,3.328656710E0,2.131354000E-3,1.799999952E0,2.500000000E1
1.276922292E0,1.668606086E-1,3.324697499E0,2.129947000E-3,1.799999952E0,2.500000000E1
1.289418167E0,1.667996380E-1,3.308709051E0,2.138818000E-3,1.799999952E0,2.500000000E1
1.306079207E0,1.666937685E-1,3.308748179E0,2.137301000E-3,1.799999952E0,2.500000000E1
1.318574958E0,1.666849037E-1,3.309052293E0,2.135848000E-3,1.799999952E0,2.500000000E1
1.335235958E0,1.664514594E-1,3.303446442E0,2.134229000E-3,1.799999952E0,2.500000000E1
1.347732000E0,1.663740112E-1,3.286916774E0,2.143129000E-3,1.799999952E0,2.500000000E1
1.364393125E0,1.664343389E-1,3.291218181E0,2.141672000E-3,1.799999952E0,2.500000000E1
1.372723750E0,1.664818094E-1,3.293321019E0,2.140258000E-3,1.799999952E0,2.500000000E1
1.389384666E0,1.663752800E-1,3.293176299E0,2.138740000E-3,1.799999952E0,2.500000000E1
1.401880667E0,1.662041766E-1,3.292101280E0,2.137286000E-3,1.799999952E0,2.500000000E1
1.418541708E0,1.662200791E-1,3.291744061E0,2.135833000E-3,1.799999952E0,2.500000000E1
1.426872124E0,1.660883596E-1,3.275649693E0,2.144747000E-3,1.799999952E0,2.500000000E1
1.443533208E0,1.661274390E-1,3.277885996E0,2.142911000E-3,1.799999952E0,2.500000000E1
1.460194250E0,1.660384869E-1,3.261788823E0,2.151856000E-3,1.799999952E0,2.500000000E1
1.472690291E0,1.659983924E-1,3.263620114E0,2.150436000E-3,1.799999952E0,2.500000000E1
1.489351500E0,1.658853160E-1,3.262496089E0,2.149017000E-3,1.799999952E0,2.500000000E1
1.501846791E0,1.658075971E-1,3.262617222E0,2.147388000E-3,1.799999952E0,2.500000000E1
1.518508042E0,1.656618361E-1,3.260424153E0,2.145971000E-3,1.799999952E0,2.500000000E1
1.531004250E0,1.662733015E-1,3.280848042E0,2.144554000E-3,1.799999952E0,2.500000000E1
1.543499917E0,1.661239201E-1,3.280928664E0,2.143096000E-3,1.799999952E0,2.500000000E1
1.555995875E0,1.661055477E-1,3.267652451E0,2.152040000E-3,1.799999952E0,2.500000000E1
1.572656833E0,1.660597014E-1,3.251254987E0,2.161023000E-3,1.799999952E0,2.500000000E1
1.580987582E0,1.660451523E-1,3.236260047E0,2.170044000E-3,1.799999952E0,2.500000000E1
1.601813958E0,1.661563678E-1,3.226266647E0,2.179099000E-3,1.799999952E0,2.500000000E1
1.618474917E0,1.663479414E-1,3.237843589E0,2.177297000E-3,1.799999952E0,2.500000000E1
1.630970791E0,1.663792725E-1,3.225317355E0,2.186376000E-3,1.799999952E0,2.500000000E1
1.647631708E0,1.662832828E-1,3.210432118E0,2.195496000E-3,1.799999952E0,2.500000000E1
1.664293000E0,1.675214899E-1,3.250165745E0,2.193788000E-3,1.799999952E0,2.500000000E1
1.680953958E0,1.674338405E-1,3.247928890E0,2.192189000E-3,1.799999952E0,2.500000000E1
1.689284583E0,1.673992442E-1,3.248211804E0,2.190591000E-3,1.799999952E0,2.500000000E1
1.705945750E0,1.672654608E-1,3.247161282E0,2.188994000E-3,1.799999952E0,2.500000000E1
1.718441500E0,1.671959469E-1,3.247933584E0,2.187506000E-3,1.799999952E0,2.500000000E1
1.735102749E0,1.682154957E-1,3.284323376E0,2.185848000E-3,1.799999952E0,2.500000000E1
1.747598458E0,1.681881570E-1,3.284834781E0,2.184148000E-3,1.799999952E0,2.500000000E1
1.764259458E0,1.681608860E-1,3.284560037E0,2.182385000E-3,1.799999952E0,2.500000000E1
1.776755332E0,1.680002377E-1,3.283887543E0,2.180687000E-3,1.799999952E0,2.500000000E1
1.789251333E0,1.681913375E-1,3.291300739E0,2.179205000E-3,1.799999952E0,2.500000000E1
1.805912375E0,1.681931307E-1,3.294423985E0,2.177574000E-3,1.799999952E0,2.500000000E1
1.818408333E0,1.681802396E-1,3.294984697E0,2.176030000E-3,1.799999952E0,2.500000000E1
1.835068833E0,1.681397730E-1,3.293980048E0,2.174444000E-3,1.799999952E0,2.500000000E1
1.847565042E0,1.679493160E-1,3.294468635E0,2.172902000E-3,1.799999952E0,2.500000000E1
1.860060707E0,1.678524127E-1,3.288983897E0,2.171425000E-3,1.799999952E0,2.500000000E1
1.876721916E0,1.675942351E-1,3.288403766E0,2.169949000E-3,1.799999952E0,2.500000000E1
1.889217792E0,1.676594689E-1,3.289431681E0,2.168261000E-3,1.799999952E0,2.500000000E1
1.901713541E0,1.676286283E-1,3.289609684E0,2.166787000E-3,1.799999952E0,2.500000000E1
1.918374500E0,1.675685374E-1,3.290490935E0,2.165208000E-3,1.799999952E0,2.500000000E1
1.935035917E0,1.669899089E-1,3.256579953E0,2.174220000E-3,1.799999952E0,2.500000000E1
1.947531792E0,1.667743972E-1,3.255957560E0,2.172785000E-3,1.799999952E0,2.500000000E1
1.964192792E0,1.667916530E-1,3.256391895E0,2.171308000E-3,1.799999952E0,2.500000000E1
1.976688582E0,1.667506619E-1,3.255271745E0,2.169746000E-3,1.799999952E0,2.500000000E1
1.993349792E0,1.669483596E-1,3.263575481E0,2.168058000E-3,1.799999952E0,2.500000000E1
2.005845667E0,1.666966783E-1,3.262052970E0,2.166521000E-3,1.799999952E0,2.500000000E1
2.018341291E0,1.666815540E-1,3.246765233E0,2.175547000E-3,1.799999952E0,2.500000000E1
2.035002416E0,1.666430499E-1,3.247960111E0,2.174068000E-3,1.799999952E0,2.500000000E1
2.051663167E0,1.665319359E-1,3.248898286E0,2.172015000E-3,1.799999952E0,2.500000000E1
2.064159499E0,1.659319237E-1,3.229571777E0,2.170581000E-3,1.799999952E0,2.500000000E1
2.076655250E0,1.660053455E-1,3.230613339E0,2.169148000E-3,1.799999952E0,2.500000000E1
2.093316291E0,1.659022842E-1,3.230705108E0,2.167567000E-3,1.799999952E0,2.500000000E1
2.105812249E0,1.659121471E-1,3.232759887E0,2.165881000E-3,1.799999952E0,2.500000000E1
