"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
4.059958272E-3,8.897604830E-2,1.973500620E-1,2.869539000E-3,1.799999952E0,2.000000000E2
1.655587438E-2,8.892273287E-2,1.975080633E-1,2.867309000E-3,1.799999952E0,2.000000000E2
3.321712441E-2,8.908298368E-2,1.980509695E-1,2.865389000E-3,1.799999952E0,2.000000000E2
4.154741624E-2,8.917850822E-2,1.984167114E-1,2.861841000E-3,1.799999952E0,2.000000000E2
5.820849934E-2,8.908547901E-2,1.981697540E-1,2.858943000E-3,1.799999952E0,2.000000000E2
7.070466643E-2,8.897763009E-2,1.982655013E-1,2.856441000E-3,1.799999952E0,2.000000000E2
8.736574929E-2,8.880172215E-2,1.969162280E-1,2.871123000E-3,1.799999952E0,2.000000000E2
9.986174922E-2,8.902758740E-2,1.959943387E-1,2.885872000E-3,1.799999952E0,2.000000000E2
1.123573743E-1,8.902910997E-2,1.964771190E-1,2.882808000E-3,1.799999952E0,2.000000000E2
1.248532084E-1,8.872488296E-2,1.956574625E-1,2.880086000E-3,1.799999952E0,2.000000000E2
1.373491243E-1,8.880356615E-2,1.944718929E-1,2.894889000E-3,1.799999952E0,2.000000000E2
1.540102493E-1,8.866675450E-2,1.933903532E-1,2.909773000E-3,1.799999952E0,2.000000000E2
1.665055414E-1,8.869297659E-2,1.933598869E-1,2.907254000E-3,1.799999952E0,2.000000000E2
1.748364584E-1,8.856043661E-2,1.935088954E-1,2.904852000E-3,1.799999952E0,2.000000000E2
1.914976663E-1,8.856025898E-2,1.935390476E-1,2.902394000E-3,1.799999952E0,2.000000000E2
2.039937493E-1,8.853624461E-2,1.939419273E-1,2.900081000E-3,1.799999952E0,2.000000000E2
2.206549994E-1,8.863159152E-2,1.940239554E-1,2.897908000E-3,1.799999952E0,2.000000000E2
2.331507083E-1,8.859885620E-2,1.931222084E-1,2.912810000E-3,1.799999952E0,2.000000000E2
2.498118333E-1,8.867435045E-2,1.932503772E-1,2.910546000E-3,1.799999952E0,2.000000000E2
