"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
1.527540851E-3,5.142196143E-1,1.058451838E0,3.236451000E-3,1.799999952E0,2.000000000E2
1.819116576E-2,5.141388841E-1,1.058305175E0,3.235879000E-3,1.799999952E0,2.000000000E2
3.485224978E-2,5.141140831E-1,1.057953439E0,3.235308000E-3,1.799999952E0,2.000000000E2
4.734812491E-2,5.138263844E-1,1.057012934E0,3.234748000E-3,1.799999952E0,2.000000000E2
6.400937471E-2,5.139942735E-1,1.058039594E0,3.234182000E-3,1.799999952E0,2.000000000E2
7.234008284E-2,5.140749360E-1,1.058636080E0,3.233612000E-3,1.799999952E0,2.000000000E2
8.900120785E-2,5.138497982E-1,1.057658985E0,3.233052000E-3,1.799999952E0,2.000000000E2
1.014972078E-1,5.138985544E-1,1.058256714E0,3.232490000E-3,1.799999952E0,2.000000000E2
1.139930408E-1,5.139050169E-1,1.058344812E0,3.231928000E-3,1.799999952E0,2.000000000E2
1.264889578E-1,5.137918051E-1,1.058099908E0,3.231370000E-3,1.799999952E0,2.000000000E2
1.389849158E-1,5.138749038E-1,1.058441892E0,3.230809000E-3,1.799999952E0,2.000000000E2
1.556460408E-1,5.137002816E-1,1.057981781E0,3.230255000E-3,1.799999952E0,2.000000000E2
1.681419997E-1,5.136439464E-1,1.057917327E0,3.229704000E-3,1.799999952E0,2.000000000E2
1.848029997E-1,5.137324248E-1,1.058487658E0,3.229149000E-3,1.799999952E0,2.000000000E2
2.014642498E-1,5.134983207E-1,1.057611547E0,3.228604000E-3,1.799999952E0,2.000000000E2
2.139602909E-1,5.136032767E-1,1.058221646E0,3.228055000E-3,1.799999952E0,2.000000000E2
2.306214997E-1,5.131737758E-1,1.056366635E0,3.227523000E-3,1.799999952E0,2.000000000E2
2.472826247E-1,5.132293666E-1,1.056840755E0,3.226989000E-3,1.799999952E0,2.000000000E2
2.639439157E-1,5.132438818E-1,1.057127525E0,3.226454000E-3,1.799999952E0,2.000000000E2
2.764397499E-1,5.131147000E-1,1.056746186E0,3.225925000E-3,1.799999952E0,2.000000000E2
